CreatedDate,X3a,X1a,X1b,X4a,X2b,X4b,X2a,X5b,X5a,Date_Received,Contact,X3b,Service_Application
2023-04-18 15:39:07,Just able to pay but not much more,Always or almost always,Rarely,Always or almost always,High chance,Rarely,High chance,I am confident I will stay in my home for as long as I want,I was worried that I might have to leave my home in the near future,,0034M000020cM5mQAE,Just able to pay but not much more,service_app_145
2023-06-16 20:11:02,Just able to pay but not much more,Always or almost always,Never or almost never,Sometimes,No chance,Never or almost always,Not sure,I am confident I will stay in my home for as long as I want,Not sure,2023-02-13 00:00:00,,Just able to pay but not much more,service_app_101
2021-09-03 21:36:27,Comfortably able to pay and more,Always or almost always,Rarely,Sometimes,No chance,Rarely,Low chance,I am confident I will stay in my home for as long as I want,I was confident I would stay in my home for as long as I wanted,2021-08-27 00:00:00,0034M000021Lu2uQAC,Comfortably able to pay and more,service_app_158
2021-12-07 16:19:46,Barely able to pay,Never or almost never,Never or almost never,Always or almost always,Low chance,Sometimes,Moderate chance,I am confident I will stay in my home for as long as I want,Not sure,2021-12-07 00:00:00,0034M000021LtJGQA0,Barely able to pay,service_app_157
2021-12-07 16:21:27,Barely able to pay,Often,Rarely,Always or almost always,No chance,Sometimes,High chance,I am confident I will stay in my home for as long as I want,"I felt secure at the time, but I was uncertain if I would be able to stay in my home long-term",2021-12-07 00:00:00,0034M000025DCGyQAO,Just able to pay but not much more,service_app_161
2022-04-29 16:29:02,Not sure,Rarely,Sometimes,Sometimes,Low chance,Rarely,Moderate chance,I am confident I will stay in my home for as long as I want,"I felt secure at the time, but I was uncertain if I would be able to stay in my home long-term",2022-04-29 00:00:00,,Just able to pay but not much more,service_app_166
2022-04-29 16:30:30,Just able to pay but not much more,Sometimes,Rarely,Sometimes,Not sure,Sometimes,Not sure,I am confident I will stay in my home for as long as I want,I was confident I would stay in my home for as long as I wanted,2022-04-29 00:00:00,,Not sure,service_app_90
2022-04-29 16:31:52,Just able to pay but not much more,Never or almost never,Never or almost never,Often,Low chance,Rarely,Moderate chance,I am confident I will stay in my home for as long as I want,I was confident I would stay in my home for as long as I wanted,2022-04-29 00:00:00,,Comfortably able to pay and more,service_app_170
2022-04-29 16:33:01,Comfortably able to pay and more,Often,Rarely,Rarely,No chance,Rarely,Low chance,I am confident I will stay in my home for as long as I want,I was confident I would stay in my home for as long as I wanted,2022-04-29 00:00:00,,Comfortably able to pay and more,service_app_134
2022-04-29 16:34:57,Barely able to pay,Often,Often,Often,Moderate chance,Rarely,High chance,I am confident I will stay in my home for as long as I want,"I felt secure at the time, but I was uncertain if I would be able to stay in my home long-term",2022-04-29 00:00:00,,Just able to pay but not much more,service_app_159
2022-04-29 16:36:31,Comfortably able to pay and more,Never or almost never,Never or almost never,Rarely,No chance,Rarely,Moderate chance,I am confident I will stay in my home for as long as I want,I was confident I would stay in my home for as long as I wanted,2022-04-29 00:00:00,,Comfortably able to pay and more,service_app_151
2022-04-29 16:37:30,Barely able to pay,Always or almost always,Sometimes,Sometimes,Moderate chance,Sometimes,Moderate chance,I am confident I will stay in my home for as long as I want,I was confident I would stay in my home for as long as I wanted,2022-04-29 00:00:00,,Barely able to pay,service_app_140
2022-04-29 16:47:27,Barely able to pay,Rarely,Never or almost never,Sometimes,Low chance,Rarely,Low chance,I am confident I will stay in my home for as long as I want,"I felt secure at the time, but I was uncertain if I would be able to stay in my home long-term",2022-04-29 00:00:00,,Comfortably able to pay and more,service_app_160
2022-04-29 16:38:47,Barely able to pay,Often,Never or almost never,Always or almost always,Prefer to not answer,Never or almost always,Prefer to not answer,I am confident I will stay in my home for as long as I want,I was worried that I might have to leave my home in the near future,2022-04-29 00:00:00,,Comfortably able to pay and more,service_app_146
2022-04-29 16:43:54,Comfortably able to pay and more,Often,Never or almost never,Often,No chance,Never or almost always,No chance,I am confident I will stay in my home for as long as I want,I was confident I would stay in my home for as long as I wanted,2022-04-29 00:00:00,,Comfortably able to pay and more,service_app_19
2022-04-29 16:39:52,Just able to pay but not much more,Sometimes,Rarely,Sometimes,Moderate chance,Sometimes,Moderate chance,I am confident I will stay in my home for as long as I want,I was confident I would stay in my home for as long as I wanted,2022-04-29 00:00:00,,Just able to pay but not much more,service_app_147
2022-04-29 16:40:51,Just able to pay but not much more,Often,Rarely,Sometimes,Low chance,Sometimes,Moderate chance,I am confident I will stay in my home for as long as I want,"I felt secure at the time, but I was uncertain if I would be able to stay in my home long-term",2022-04-29 00:00:00,,Just able to pay but not much more,service_app_154
2022-04-29 16:46:21,Barely able to pay,Always or almost always,Rarely,Always or almost always,Low chance,Never or almost always,High chance,I am confident I will stay in my home for as long as I want,I was worried that I might have to leave my home in the near future,2022-04-29 00:00:00,,Barely able to pay,service_app_152
2022-08-02 18:19:41,Not able to pay for necessities,Not sure,Not sure,Prefer to not answer,Prefer to not answer,Not sure,Prefer to not answer,I am confident I will stay in my home for as long as I want,"I felt secure at the time, but I was uncertain if I would be able to stay in my home long-term",2022-07-01 00:00:00,0034M00002EHP14QAH,Not able to pay for necessities,service_app_96
2022-08-02 18:37:47,Just able to pay but not much more,Always or almost always,Never or almost never,Sometimes,No chance,Never or almost always,No chance,I am confident I will stay in my home for as long as I want,"I felt secure at the time, but I was uncertain if I would be able to stay in my home long-term",2022-08-01 00:00:00,0034M000026vRDMQA2,Just able to pay but not much more,service_app_167
2022-08-17 15:38:39,Prefer to not answer,Often,Rarely,Often,Low chance,Rarely,Low chance,I am confident I will stay in my home for as long as I want,I was confident I would stay in my home for as long as I wanted,2022-08-15 00:00:00,0034M00002G9pdvQAB,Prefer to not answer,service_app_102
2022-10-03 21:26:49,Not able to pay for necessities,Rarely,Rarely,Always or almost always,Low chance,Always or almost always,No chance,I am confident I will stay in my home for as long as I want,I was confident I would stay in my home for as long as I wanted,2022-10-03 00:00:00,0034M00002KKS4XQAX,Barely able to pay,service_app_111
2021-01-12 20:54:25,Comfortably able to pay and more,Often,Rarely,Often,Low chance,Rarely,Moderate chance,I am confident I will stay in my home for as long as I want,"I felt secure at the time, but I was uncertain if I would be able to stay in my home long-term",2021-01-12 00:00:00,0031K00002fLVhoQAG,Comfortably able to pay and more,service_app_21
2021-01-12 21:00:01,Just able to pay but not much more,Never or almost never,Never or almost never,Often,No chance,Sometimes,Moderate chance,I am confident I will stay in my home for as long as I want,I was confident I would stay in my home for as long as I wanted,2021-01-12 00:00:00,0034M00001vah6rQAA,Just able to pay but not much more,service_app_125
2021-01-13 20:57:14,Comfortably able to pay and more,Often,Never or almost never,Often,Low chance,Never or almost always,Low chance,I am confident I will stay in my home for as long as I want,I was confident I would stay in my home for as long as I wanted,2021-01-12 00:00:00,0034M00001vY66gQAC,Just able to pay but not much more,service_app_124
2021-01-13 20:58:23,Just able to pay but not much more,Always or almost always,Rarely,Always or almost always,No chance,Never or almost always,Low chance,I am confident I will stay in my home for as long as I want,I was confident I would stay in my home for as long as I wanted,2021-01-12 00:00:00,0034M00001w1rHjQAI,Just able to pay but not much more,service_app_153
2021-01-13 20:59:34,Just able to pay but not much more,Sometimes,Rarely,Sometimes,Low chance,Sometimes,Moderate chance,Not sure,I was worried that I might have to leave my home in the near future,2021-01-12 00:00:00,0031K00002fLsOmQAK,Just able to pay but not much more,service_app_23
2021-02-11 20:16:54,Just able to pay but not much more,Sometimes,Rarely,Rarely,Low chance,Never or almost always,Low chance,I am confident I will stay in my home for as long as I want,I was confident I would stay in my home for as long as I wanted,2021-02-11 00:00:00,0034M00001yuoFPQAY,Comfortably able to pay and more,service_app_132
2021-06-09 19:30:37,Barely able to pay,Always or almost always,Rarely,Always or almost always,Low chance,Sometimes,High chance,I am confident I will stay in my home for as long as I want,Not sure,2021-06-09 00:00:00,0034M000020BplRQAS,Just able to pay but not much more,service_app_137
2021-06-23 17:59:25,Barely able to pay,Sometimes,Sometimes,Always or almost always,Low chance,Rarely,Low chance,I am confident I will stay in my home for as long as I want,"I felt secure at the time, but I was uncertain if I would be able to stay in my home long-term",2021-06-22 00:00:00,0034M00001zT2eKQAS,Just able to pay but not much more,service_app_136
2023-07-27 15:37:47,Not sure,Never or almost never,Never or almost never,Never or almost always,No chance,Rarely,No chance,I am confident I will stay in my home for as long as I want,I was confident I would stay in my home for as long as I wanted,2023-07-26 00:00:00,0034M00002MTFzOQAX,Prefer to not answer,service_app_120
2023-07-27 15:47:34,Just able to pay but not much more,Always or almost always,Never or almost never,Rarely,No chance,Rarely,Moderate chance,I am confident I will stay in my home for as long as I want,"I felt secure at the time, but I was uncertain if I would be able to stay in my home long-term",2023-07-24 00:00:00,0034M00002OMkgMQAT,Just able to pay but not much more,service_app_121
2023-08-28 13:54:53,Just able to pay but not much more,Often,,Often,Low chance,Often,Moderate chance,I am confident I will stay in my home for as long as I want,Prefer to not answer,2023-08-14 00:00:00,0034M00002PJbw6QAD,Not sure,service_app_177
2023-10-09 19:07:06,Just able to pay but not much more,Sometimes,Never or almost never,Often,Low chance,Rarely,Moderate chance,I am confident I will stay in my home for as long as I want,"I felt secure at the time, but I was uncertain if I would be able to stay in my home long-term",2023-09-22 00:00:00,,Comfortably able to pay and more,service_app_192
2023-07-17 19:53:56,Just able to pay but not much more,Often,Rarely,Often,Low chance,Often,Moderate chance,I am confident I will stay in my home for as long as I want,I was confident I would stay in my home for as long as I wanted,2023-06-28 00:00:00,0034M00002PJ9yvQAD,Comfortably able to pay and more,service_app_176
2023-07-17 21:06:16,Comfortably able to pay and more,,Always or almost always,Always or almost always,No chance,Sometimes,High chance,I am confident I will stay in my home for as long as I want,"I felt secure at the time, but I was uncertain if I would be able to stay in my home long-term",2023-07-17 00:00:00,0034M00002MSrx4QAD,Comfortably able to pay and more,service_app_117
2023-07-17 21:31:40,Barely able to pay,Often,Sometimes,Always or almost always,Moderate chance,Sometimes,High chance,"I feel secure now, but I am uncertain if I will be able to stay in my home long-term","I felt secure at the time, but I was uncertain if I would be able to stay in my home long-term",2022-10-03 00:00:00,0034M00002Eid7BQAR,Barely able to pay,service_app_97
2023-07-17 21:34:23,Just able to pay but not much more,Sometimes,Rarely,Often,Low chance,Sometimes,Moderate chance,I am confident I will stay in my home for as long as I want,"I felt secure at the time, but I was uncertain if I would be able to stay in my home long-term",2022-10-03 00:00:00,0034M00002Hb74BQAR,Just able to pay but not much more,service_app_110
2023-07-18 16:48:44,Not sure,Rarely,Sometimes,Often,No chance,Often,No chance,I am confident I will stay in my home for as long as I want,I was confident I would stay in my home for as long as I wanted,2023-07-18 00:00:00,0034M00002GBlQMQA1,Prefer to not answer,service_app_104
2023-07-18 17:24:23,Just able to pay but not much more,Always or almost always,Never or almost never,Always or almost always,No chance,Always or almost always,Low chance,I am confident I will stay in my home for as long as I want,"I felt secure at the time, but I was uncertain if I would be able to stay in my home long-term",2023-07-18 00:00:00,0034M00002PWY2uQAH,Comfortably able to pay and more,service_app_193
2023-07-18 17:38:04,Just able to pay but not much more,Never or almost never,Never or almost never,Sometimes,No chance,Never or almost always,Not sure,I am confident I will stay in my home for as long as I want,Not sure,2023-07-18 00:00:00,0034M00002PIAVWQA5,Just able to pay but not much more,service_app_191
2023-07-18 18:21:40,Barely able to pay,Never or almost never,Sometimes,Never or almost always,Not sure,Never or almost always,Moderate chance,I am confident I will stay in my home for as long as I want,I was confident I would stay in my home for as long as I wanted,2023-07-18 00:00:00,0034M00002FanKQQAZ,Barely able to pay,service_app_99
2023-07-18 18:36:45,Just able to pay but not much more,Often,Rarely,Often,High chance,Sometimes,High chance,I am confident I will stay in my home for as long as I want,"I felt secure at the time, but I was uncertain if I would be able to stay in my home long-term",2023-07-18 00:00:00,0034M00002OMniTQAT,Just able to pay but not much more,service_app_122
2024-01-30 17:38:10,Comfortably able to pay and more,Always or almost always,Never or almost never,Always or almost always,Low chance,Never or almost always,High chance,I am confident I will stay in my home for as long as I want,I was confident I would stay in my home for as long as I wanted,2024-01-11 00:00:00,,Comfortably able to pay and more,service_app_205
2024-04-05 20:55:17,Barely able to pay,Always or almost always,Never or almost never,Often,Low chance,Often,Moderate chance,I am confident I will stay in my home for as long as I want,I was worried that I might have to leave my home in the near future,2024-03-01 00:00:00,0034M00002TUWYWQA5,Barely able to pay,service_app_207
2024-05-20 13:47:23,Just able to pay but not much more,Often,Rarely,Always or almost always,Moderate chance,Sometimes,Moderate chance,I am confident I will stay in my home for as long as I want,I was worried that I might have to leave my home in the near future,2024-05-13 00:00:00,0034100001xFJYxAAO,Just able to pay but not much more,service_app_222
2024-06-10 20:54:07,Barely able to pay,Sometimes,Never or almost never,Often,No chance,Never or almost always,Low chance,"I feel secure now, but I am uncertain if I will be able to stay in my home long-term",I was confident I would stay in my home for as long as I wanted,,003UH000002LB7QYAW,Barely able to pay,service_app_214
2024-08-09 19:58:06,Just able to pay but not much more,Always or almost always,Never or almost never,Never or almost always,Moderate chance,Never or almost always,Moderate chance,I am confident I will stay in my home for as long as I want,I was confident I would stay in my home for as long as I wanted,,003UH000001wyT6YAI,Just able to pay but not much more,service_app_217
2024-09-05 16:34:31,Just able to pay but not much more,Not sure,Not sure,Never or almost always,Low chance,Never or almost always,Not sure,I am confident I will stay in my home for as long as I want,I was confident I would stay in my home for as long as I wanted,2024-09-05 00:00:00,003UH000002wcjhYAA,Comfortably able to pay and more,service_app_213
2024-10-21 18:10:35,Comfortably able to pay and more,Never or almost never,Never or almost never,Never or almost always,No chance,Never or almost always,No chance,I am confident I will stay in my home for as long as I want,I was confident I would stay in my home for as long as I wanted,2024-09-24 00:00:00,,Comfortably able to pay and more,service_app_231
2024-10-23 19:04:48,Just able to pay but not much more,Rarely,Never or almost never,Sometimes,Low chance,Rarely,Low chance,I am confident I will stay in my home for as long as I want,"I felt secure at the time, but I was uncertain if I would be able to stay in my home long-term",2024-10-23 00:00:00,,Just able to pay but not much more,service_app_236
2024-10-25 17:18:04,Comfortably able to pay and more,Often,Not sure,Rarely,No chance,Rarely,Low chance,I am confident I will stay in my home for as long as I want,I was confident I would stay in my home for as long as I wanted,2024-10-25 00:00:00,003UH00000Gybt7YAB,Comfortably able to pay and more,service_app_243
2024-10-28 14:20:28,Just able to pay but not much more,Always or almost always,Rarely,Always or almost always,Low chance,Never or almost always,High chance,I am confident I will stay in my home for as long as I want,I was worried that I might have to leave my home in the near future,2024-10-25 00:00:00,0034M00001w3YOXQA2,Comfortably able to pay and more,service_app_234
2024-11-06 17:08:12,Comfortably able to pay and more,Rarely,Never or almost never,Rarely,High chance,Rarely,High chance,I am confident I will stay in my home for as long as I want,I was confident I would stay in my home for as long as I wanted,2024-11-05 00:00:00,0034M00002R7MSEQA3,Comfortably able to pay and more,service_app_228
2024-11-12 17:53:40,Not able to pay for necessities,Often,Never or almost never,Always or almost always,Low chance,Often,High chance,"I feel secure now, but I am uncertain if I will be able to stay in my home long-term","I felt secure at the time, but I was uncertain if I would be able to stay in my home long-term",2024-11-12 00:00:00,003UH000009QFPfYAO,Just able to pay but not much more,service_app_229
2024-11-12 22:29:25,Just able to pay but not much more,Often,Prefer not to answer,Sometimes,Low chance,Rarely,Low chance,I am confident I will stay in my home for as long as I want,I was confident I would stay in my home for as long as I wanted,2024-11-11 00:00:00,003UH00000DVDxbYAH,Just able to pay but not much more,service_app_238
2025-01-27 15:28:54,Not sure,Rarely,Rarely,,Not sure,,Low chance,,,,,,service_app_245
2025-02-17 20:37:27,Comfortably able to pay and more,Always or almost always,Never or almost never,Often,No chance,Never or almost always,No chance,I am confident I will stay in my home for as long as I want,I was worried that I might have to leave my home in the near future,2025-02-14 00:00:00,003UH00000EgYd7YAF,Comfortably able to pay and more,service_app_239
2025-02-17 20:39:24,Just able to pay but not much more,Often,Always or almost always,Never or almost always,High chance,Never or almost always,High chance,I am confident I will stay in my home for as long as I want,I was confident I would stay in my home for as long as I wanted,2025-02-14 00:00:00,,Not sure,service_app_244
2025-02-24 19:07:57,Just able to pay but not much more,Always or almost always,Rarely,Often,Low chance,Never or almost always,High chance,I am confident I will stay in my home for as long as I want,"I felt secure at the time, but I was uncertain if I would be able to stay in my home long-term",,003UH00000GdDLzYAN,Comfortably able to pay and more,service_app_259
2025-03-03 19:16:08,Prefer to not answer,Rarely,Rarely,Prefer to not answer,No chance,Prefer to not answer,No chance,I am confident I will stay in my home for as long as I want,I was confident I would stay in my home for as long as I wanted,,0034M00002PWiEkQAL,Prefer to not answer,service_app_197
2025-03-03 21:49:49,Not able to pay for necessities,Always or almost always,Rarely,Always or almost always,Low chance,Always or almost always,High chance,I am confident I will stay in my home for as long as I want,"I felt secure at the time, but I was uncertain if I would be able to stay in my home long-term",2025-03-03 00:00:00,003UH00000H5P8vYAF,Barely able to pay,service_app_248
2025-03-26 20:17:45,Just able to pay but not much more,Rarely,Never or almost never,,No chance,,No chance,,,,0034M00001w1qj6QAA,Just able to pay but not much more,service_app_296
2025-03-31 21:22:12,Just able to pay but not much more,Often,Sometimes,Often,Low chance,Sometimes,Low chance,I am confident I will stay in my home for as long as I want,"I felt secure at the time, but I was uncertain if I would be able to stay in my home long-term",,003UH00000I7P7NYAV,Not sure,service_app_252
2025-04-01 21:29:44,Just able to pay but not much more,Often,Never or almost never,Rarely,Low chance,Rarely,High chance,I am confident I will stay in my home for as long as I want,I was confident I would stay in my home for as long as I wanted,2025-03-27 00:00:00,003UH00000FCkhZYAT,Comfortably able to pay and more,service_app_264
2025-05-27 16:08:37,Comfortably able to pay and more,Sometimes,Never or almost never,Rarely,No chance,Prefer to not answer,Low chance,I am confident I will stay in my home for as long as I want,I was confident I would stay in my home for as long as I wanted,2025-05-21 00:00:00,003UH00000FCfDMYA1,Comfortably able to pay and more,service_app_250
2025-05-30 20:42:29,Just able to pay but not much more,Sometimes,Rarely,Rarely,Low chance,Sometimes,Low chance,Not sure,Not sure,2025-05-26 00:00:00,0034M00001w3YFpQAM,Comfortably able to pay and more,service_app_298
2025-06-16 21:07:05,Not able to pay for necessities,Always or almost always,Never or almost never,,No chance,,High chance,,,2025-06-04 00:00:00,003UH00000S7t1GYAR,Comfortably able to pay and more,service_app_292
2025-06-26 18:26:55,Not sure,Rarely,Rarely,Rarely,Prefer to not answer,Rarely,Prefer to not answer,I am confident I will stay in my home for as long as I want,I was confident I would stay in my home for as long as I wanted,2025-06-25 00:00:00,003UH00000QQvOfYAL,Not sure,service_app_273
2025-07-11 17:27:44,Comfortably able to pay and more,Sometimes,Sometimes,Rarely,No chance,Rarely,No chance,I am confident I will stay in my home for as long as I want,I was confident I would stay in my home for as long as I wanted,2025-07-11 00:00:00,003UH00000KVkpRYAT,Comfortably able to pay and more,service_app_267
2025-07-28 19:45:29,Not able to pay for necessities,Always or almost always,Always or almost always,Often,High chance,Often,High chance,"I feel secure now, but I am uncertain if I will be able to stay in my home long-term","I felt secure at the time, but I was uncertain if I would be able to stay in my home long-term",,003UH00000FClvNYAT,Not able to pay for necessities,service_app_242
