Id,CreatedDate,Service_Application,Number_of_Repairs,Project,Repair_Activity,Repair_Area,Status,Contractor_Bid,Priority,Quick_Notes,Repair_Cost
repair_0,2018-04-11 21:34:59,service_app_33,,,Replacement,Roof,Assigned,,,,
repair_1,2021-07-21 16:05:25,service_app_129,1.0,,,Appliances,Assigned,,Medium,Kitchen vent hood cleaned,
repair_2,2021-07-21 16:08:04,service_app_129,1.0,,Repair,HVAC,Assigned,,Low,Thermostat,
repair_3,2021-07-21 21:37:02,service_app_158,6.0,,,Bathroom,Work Completed,contractor_bid_3,High,"Renovate bathroom to include a walk-in shower, handheld shower set, grab bars, new vanity, paint and flooring",
repair_4,2021-07-21 21:38:16,service_app_158,1.0,,Test,Lead Safety,Work Completed,contractor_bid_1,Critical,Lead paint inspection completed,
repair_5,2021-07-21 21:39:58,service_app_158,1.0,,,Exterior,Work Completed,contractor_bid_3,Medium,Repair leaking exterior spigot,
repair_6,2021-07-21 21:40:56,service_app_158,3.0,,,Kitchen,Work Completed,contractor_bid_3,High,"Repair leaking plumbing, damaged cabinets and countertops",
repair_7,2021-07-21 21:42:32,service_app_158,1.0,,,Walkways/Entryways/Sidewalks,In Progress,contractor_bid_2,High,Install handrails on front entry,
repair_8,2021-07-21 21:41:28,service_app_158,1.0,,,Appliances,Work Completed,contractor_bid_3,Medium,Install new range vent in kitchen,
repair_9,2021-07-21 21:43:07,service_app_158,1.0,,Repair,Roof,In Progress,contractor_bid_2,High,Repair edges of roof,
repair_10,2021-07-27 16:23:17,service_app_158,1.0,,,Grab Bars/Railings,Work Completed,,Critical,Grab bars installed in bathroom/shower,
repair_11,2021-07-27 16:47:45,service_app_158,2.0,,Exterior,Doors/Locks,Work Completed,contractor_bid_3,High,Replace exterior front entry door and security door,
repair_12,2021-07-28 15:29:52,service_app_151,,,Replacement,Roof,In Progress,,High,,
repair_13,2021-07-28 15:41:27,service_app_161,,project_0,,Tub/Tile,Assigned,contractor_bid_5,Critical,-Convert bathtub to shower with tile surround and handheld shower combo kit,
repair_14,2021-07-28 15:42:17,service_app_161,3.0,project_0,,Grab Bars/Railings,Assigned,contractor_bid_5,Critical,-re-install 3 grab bars in bathroom,
repair_15,2021-07-28 15:43:49,service_app_161,2.0,project_0,,Cabinets,Assigned,contractor_bid_5,Low,-Repair loose bathroom vanity cabinet -Install new vanity top -Install vanity new faucet,
repair_16,2021-07-28 15:51:44,service_app_161,,project_0,,Handrails,Assigned,,High,-Install exterior handrails down the sidewalk extending to driveway,
repair_17,2021-07-28 16:04:19,service_app_161,,project_0,,Appliances,Assigned,,Medium,-New over the stove exhaust hood,
repair_18,2021-07-28 15:56:00,service_app_161,,project_0,,Bathroom,Assigned,contractor_bid_5,High,-Install bathroom fan,
repair_19,2021-07-28 16:03:30,service_app_161,,project_0,,Appliances,Assigned,,High,-New range,
repair_20,2021-07-28 16:08:28,service_app_161,,project_0,,Kitchen,Assigned,contractor_bid_5,High,-Convert wall oven cabinet to pantry/storage -Remove stovetop & base cabinet to replace with range -Replace countertops -New sink faucet -Replace vent hood with new recirculating hood,
repair_21,2021-07-28 16:29:19,service_app_161,1.0,project_0,Test,Lead Safety,Need Identified,,Critical,,
repair_22,2021-07-28 16:15:40,service_app_161,,project_0,Critical,HVAC,Assigned,contractor_bid_6,High,-Install new unit including ductwork (no current central a/c),
repair_23,2021-07-28 16:16:17,service_app_161,,project_0,Exterior,Doors/Locks,Assigned,contractor_bid_5,High,-Install new back patio door,
repair_24,2021-07-28 16:26:54,service_app_161,,project_0,Fire Extinguishers,Safety Items,Assigned,,High,RTN,
repair_25,2021-07-28 16:27:54,service_app_161,,project_0,Smoke Detectors,Safety Items,Assigned,,High,RTN,
repair_26,2023-03-31 16:21:21,service_app_190,,,Repair,Roof,Need Identified,,,,
repair_27,2023-03-31 16:21:21,service_app_190,,,Replacement,Windows,Need Identified,,,,
repair_28,2023-03-31 16:21:21,service_app_190,,,Install,Ramps/Lifts,Need Identified,,,,
repair_29,2023-04-05 20:16:58,service_app_191,,,convert tub to shower,Bathroom,Work Completed,,,,
repair_30,2023-04-05 20:16:58,service_app_191,,,,Gutters,Work Completed,,,,
repair_31,2023-04-05 20:16:58,service_app_191,,,,Flooring,Work Completed,,,,
repair_32,2023-04-26 16:34:34,service_app_193,,,,HVAC,Work Completed,,,,
repair_33,2023-04-26 16:34:34,service_app_193,,,,Roof,Work Completed,,,,
repair_34,2023-04-26 16:34:34,service_app_193,,,,Gutters,Work Completed,,,,
repair_35,2023-04-26 17:00:19,service_app_194,,,,Foundation,Need Identified,,,,
repair_36,2023-04-26 17:00:19,service_app_194,,,,Exterior,Need Identified,,,,
repair_37,2023-04-26 18:58:19,service_app_198,,,,Roof,Work Completed,,,,
repair_38,2023-04-26 18:58:19,service_app_198,,,Stove,Appliances,Work Completed,,,,
repair_39,2023-04-26 18:58:19,service_app_198,,,,Flooring,Work Completed,,,,
repair_40,2023-06-26 14:20:44,service_app_205,,,Replacement,Roof,Work Completed,,,,
repair_41,2023-06-26 14:20:44,service_app_205,,,,Gutters,Work Completed,,,,
repair_42,2023-06-26 14:20:44,service_app_205,,,,Walkways/Entryways/Sidewalks,Work Completed,,,,
repair_43,2021-08-10 14:48:01,service_app_161,1.0,project_0,,Appliances,Assigned,,Medium,-new washing machine,
repair_44,2022-11-30 20:06:18,service_app_117,6.0,,Replacement,Windows,Work Completed,,Medium,"Windows seals, Bay window are rotten on the exterior-some signs in exterior",
repair_45,2022-11-30 20:07:03,service_app_117,1.0,,Stove,Appliances,Work Completed,,Medium,Dishwasher does not work,
repair_46,2022-12-05 16:52:47,service_app_120,1.0,,,Flooring,Work Completed,,High,Kitchen Floor,
repair_47,2022-12-07 15:09:36,service_app_120,1.0,,replace toilet with comfort height ADA toilet,Bathroom,Work Completed,,Medium,Bathroom Tile,
repair_48,2022-12-07 15:13:39,service_app_120,1.0,,,Appliances,Work Completed,,Medium,Dryer -Needs opening outside for heat to go out,
repair_49,2022-12-07 17:04:58,service_app_101,,project_1,,Bathroom,Assigned,contractor_bid_0,High,"-replace flooring, vanity, toilet and tub surround in hall bathroom",
repair_50,2022-12-07 17:34:05,service_app_101,,project_1,Landscaping,Yardwork,Assigned,,Critical,"Create erosion control measures including straw wattles, plant 3 trees, install rain garden- Barge Volunteers",
repair_51,2022-12-07 17:36:21,service_app_101,,project_1,,Exterior,Assigned,contractor_bid_0,Critical,"-Install French Drain around the back of the house, around the left side and create a well at the front left corner of house to help mitigate water from around foundation",
repair_52,2022-12-07 17:37:24,service_app_101,1.0,project_1,,Foundation,Assigned,contractor_bid_0,Critical,"-Repair piers, joists and subfloor where needed to provide proper structural support to home",
repair_53,2023-10-23 17:47:40,service_app_174,,,,Gutters,Work Completed,,,,
repair_54,2023-10-23 17:48:50,service_app_174,,,,Exterior,Work Completed,,,,
repair_55,2023-10-23 17:52:29,service_app_122,,,convert tub to shower,Bathroom,Work Completed,,,,
repair_56,2023-10-23 17:55:31,service_app_122,,,Security door,Doors/Locks,Work Completed,,,,
repair_57,2023-10-23 17:49:52,service_app_174,,,,Yardwork,Work Completed,,,,
repair_58,2023-10-23 17:51:24,service_app_122,,,,Roof,Work Completed,,,,
repair_59,2023-10-23 17:52:02,service_app_122,,,replace flooring,Bathroom,Work Completed,,,,
repair_60,2023-10-23 17:53:11,service_app_122,,,replace toilet with comfort height ADA toilet,Bathroom,Work Completed,,,,
repair_61,2023-10-23 17:58:53,service_app_122,,,Replacement,Windows,Work Completed,,,,
repair_62,2023-10-23 17:53:46,service_app_122,,,,Bathroom,Work Completed,,,,
repair_63,2023-10-23 18:00:33,service_app_122,,,,Handrails,Work Completed,,,,
repair_64,2023-10-23 17:54:34,service_app_122,,,Security door,Doors/Locks,Work Completed,,,,
repair_65,2023-10-23 17:55:03,service_app_122,,,Security door,Doors/Locks,Work Completed,,,,
repair_66,2023-10-23 18:25:49,service_app_121,,,Replacement,Windows,Work Completed,,,,
repair_67,2023-10-23 18:26:26,service_app_121,,,Replacement,Windows,Work Completed,,,,
repair_68,2023-10-23 17:56:03,service_app_122,,,Replacement,Windows,Work Completed,,,,
repair_69,2023-10-23 17:58:18,service_app_122,,,Replacement,Windows,Work Completed,,,,
repair_70,2023-10-23 17:58:36,service_app_122,,,Replacement,Windows,Work Completed,,,,
repair_71,2023-10-23 18:11:03,service_app_121,,,convert tub to shower,Bathroom,Work Completed,,,,
repair_72,2023-10-23 17:56:21,service_app_122,,,Replacement,Windows,Work Completed,,,,
repair_73,2023-10-23 17:57:00,service_app_122,,,Replacement,Windows,Work Completed,,,,
repair_74,2023-10-23 17:59:47,service_app_122,,,Stove,Appliances,Work Completed,,,,
repair_75,2023-10-23 17:56:40,service_app_122,,,Replacement,Windows,Work Completed,,,,
repair_76,2023-10-23 18:00:49,service_app_122,,,,Handrails,Work Completed,,,,
repair_77,2023-10-23 18:03:01,service_app_122,,,Caulking,Weatherization,Work Completed,,,,
repair_78,2023-10-23 18:00:14,service_app_122,,,,Grab Bars/Railings,Work Completed,,,,
repair_79,2023-10-23 18:01:44,service_app_122,,,Replacement,Waterheater,Work Completed,,,,
repair_80,2023-10-23 18:10:47,service_app_121,,,replace toilet with comfort height ADA toilet,Bathroom,Work Completed,,,,
repair_81,2023-10-23 18:02:06,service_app_122,,,,Flooring,Work Completed,,,,
repair_82,2023-10-23 18:11:20,service_app_121,,,install fan vented to exterior of home,Bathroom,Work Completed,,,,
repair_83,2023-10-23 18:12:05,service_app_121,,,replace vanity,Bathroom,Work Completed,,,,
repair_84,2023-10-23 18:12:26,service_app_121,,,,Bathroom,Work Completed,,,,
repair_85,2023-10-23 18:15:14,service_app_121,,,Replacement,Windows,Work Completed,,,,
repair_86,2023-10-23 18:25:30,service_app_121,,,Replacement,Windows,Work Completed,,,,
repair_87,2023-10-23 18:26:07,service_app_121,,,Replacement,Windows,Work Completed,,,,
repair_88,2023-10-23 18:39:19,service_app_113,,,,Kitchen,Work Completed,,,,
repair_89,2023-10-23 18:39:46,service_app_113,,,,Tub/Tile,Work Completed,,,,
repair_90,2023-10-23 18:26:43,service_app_121,,,Replacement,Windows,Work Completed,,,,
repair_91,2023-10-23 18:27:08,service_app_121,,,Replacement,Windows,Work Completed,,,,
repair_92,2023-10-23 18:27:54,service_app_121,,,Replacement,Windows,Work Completed,,,,
repair_93,2023-10-23 18:28:32,service_app_121,,,Replacement,Windows,Work Completed,,,,
repair_94,2023-10-23 18:27:24,service_app_121,,,Replacement,Windows,Work Completed,,,,
repair_95,2023-10-23 18:33:48,service_app_113,,,,Gutters,Work Completed,,,,
repair_96,2023-10-23 18:27:40,service_app_121,,,Replacement,Windows,Work Completed,,,,
repair_97,2023-10-23 18:33:21,service_app_113,,,Replacement,Roof,Work Completed,,,,
repair_98,2023-10-23 18:37:45,service_app_113,,,,Flooring,Work Completed,,,,
repair_99,2023-10-23 18:28:16,service_app_121,,,Replacement,Windows,Work Completed,,,,
repair_100,2023-10-23 18:34:17,service_app_113,,,,Exterior,Work Completed,,,,
repair_101,2023-10-23 18:45:56,service_app_191,,,Vinyl,Exterior,Work Completed,,,,
repair_102,2023-10-23 19:01:43,service_app_120,,,Refrigerator,Appliances,Work Completed,,,,
repair_103,2023-10-23 18:35:28,service_app_113,,,,Bathroom,Work Completed,,,,
repair_104,2023-10-23 18:36:06,service_app_113,,,replace flooring,Bathroom,Work Completed,,,,
repair_105,2023-10-23 18:36:33,service_app_113,,,replace toilet with comfort height ADA toilet,Bathroom,Work Completed,,,,
repair_106,2023-10-23 18:38:42,service_app_113,,,,Appliances,Work Completed,,,,
repair_107,2023-10-23 19:01:22,service_app_120,,,,Flooring,Work Completed,,,,
repair_108,2023-10-23 19:02:07,service_app_120,,,Stove,Appliances,Work Completed,,,,
repair_109,2023-10-23 19:08:29,service_app_173,,,Landscaping,Yardwork,Work Completed,,,,
repair_110,2023-10-23 18:44:02,service_app_191,,,,Deck/Porch,Work Completed,,,,
repair_111,2023-10-23 18:46:54,service_app_191,,,replace toilet with comfort height ADA toilet,Bathroom,Work Completed,,,,
repair_112,2023-10-23 18:49:21,service_app_191,,,,Appliances,Work Completed,,,,
repair_113,2023-10-23 18:47:19,service_app_191,,,,Grab Bars/Railings,Work Completed,,,,
repair_114,2023-10-23 18:48:28,service_app_191,,,Minor,Electrical,Work Completed,,,,
repair_115,2023-10-23 18:56:30,service_app_120,,,replace vanity,Bathroom,Work Completed,,,,
repair_116,2023-10-23 19:12:32,service_app_173,,,,Flooring,Work Completed,,,,
repair_117,2023-10-23 18:52:46,service_app_120,8.0,,Replacement,Windows,Work Completed,,,,
repair_118,2023-10-23 19:02:38,service_app_120,,,Dishwasher,Appliances,Work Completed,,,,
repair_119,2023-10-23 19:03:14,service_app_120,,,,Kitchen,Work Completed,,,,
repair_120,2023-10-23 19:04:09,service_app_120,,,,Lighting,Work Completed,,,,
repair_121,2023-10-23 19:01:02,service_app_120,,,install fan vented to exterior of home,Bathroom,Work Completed,,,,
repair_122,2023-10-23 19:08:59,service_app_173,,,replace toilet with comfort height ADA toilet,Bathroom,Work Completed,,,,
repair_123,2023-10-23 19:09:29,service_app_173,,,replace toilet with comfort height ADA toilet,Bathroom,Work Completed,,,,
repair_124,2023-10-23 19:09:58,service_app_173,,,Security door,Doors/Locks,Work Completed,,,,
repair_125,2023-10-23 19:11:03,service_app_173,,,replace vanity,Bathroom,Work Completed,,,,
repair_126,2023-10-23 19:10:31,service_app_173,,,Security door,Doors/Locks,Work Completed,,,,
repair_127,2023-10-23 19:11:40,service_app_173,,,,Grab Bars/Railings,Work Completed,,,,
repair_128,2023-10-23 20:55:32,service_app_119,,,Security door,Doors/Locks,Need Identified,,Medium,,1200.0
repair_129,2022-12-19 20:38:16,service_app_173,,,Repair,Roof,Work Completed,,,,
repair_130,2022-12-19 20:38:16,service_app_173,,,Replacement,Roof,Work Completed,,,,
repair_131,2022-12-19 20:38:16,service_app_173,,,,Plumbing,Work Completed,,,,
repair_132,2023-01-17 16:24:01,service_app_174,,,Replacement,Roof,Work Completed,,,,
repair_133,2023-02-10 20:32:11,service_app_121,,,replace flooring,Bathroom,Work Completed,,,,
repair_134,2023-02-10 20:39:02,service_app_121,,,Exterior,Painting,Work Completed,,Medium,,
repair_135,2023-02-10 20:34:56,service_app_121,,,,Flooring,Work Completed,,,,
repair_136,2023-02-10 20:52:11,service_app_121,,,,Grab Bars/Railings,Work Completed,,Medium,,
repair_137,2023-02-16 18:15:32,service_app_117,2.0,,replace toilet with comfort height ADA toilet,Bathroom,Work Completed,,High,,
repair_138,2023-02-16 18:15:32,service_app_117,1.0,,,Carpet,Work Completed,,High,,
repair_139,2023-02-16 18:15:33,service_app_117,2.0,,Exterior,Doors/Locks,Work Completed,,High,,
repair_140,2023-02-16 18:15:33,service_app_117,,,,Flooring,Work Completed,,,,
repair_141,2023-02-16 18:15:33,service_app_117,,,,Framing,Work Completed,,,,
repair_142,2023-02-16 18:15:33,service_app_117,,,,Grab Bars/Railings,Work Completed,,,,
repair_143,2023-02-16 18:15:33,service_app_117,,,,Pest Control,Work Completed,,,,
repair_144,2023-02-16 18:16:07,service_app_117,1.0,,replace flooring,Bathroom,Work Completed,,High,,
repair_145,2023-02-16 18:16:25,service_app_117,1.0,,replace faucet,Bathroom,Work Completed,,High,,
repair_146,2023-02-17 20:21:08,service_app_175,,,,Foundation,Need Identified,,,,
repair_147,2023-02-17 20:21:08,service_app_175,,,,Bathroom,Need Identified,,,,
repair_148,2023-02-22 21:06:30,service_app_176,,,Critical,Electrical,Work Completed,,,,
repair_149,2023-03-01 22:12:43,service_app_177,,,Replacement,Windows,Canceled,,,,
repair_150,2023-03-01 22:12:43,service_app_177,,,,Electrical,Work Completed,,,,
repair_151,2023-03-01 22:12:43,service_app_177,,,,Flooring,Work Completed,,,,
repair_152,2023-03-08 17:55:35,service_app_178,,,,Handrails,Need Identified,,,,
repair_153,2023-03-08 17:55:35,service_app_178,,,Replacement,Windows,Need Identified,,,,
repair_154,2023-03-08 17:55:35,service_app_178,,,,Plumbing,Need Identified,,,,
repair_155,2023-03-08 18:46:20,service_app_179,,,,Tub/Tile,Work Completed,,,,
repair_156,2023-03-08 18:46:20,service_app_179,,,Stove,Appliances,Work Completed,,,,
repair_157,2023-07-28 16:19:39,service_app_177,,,Replacement,Roof,Work Completed,,,,
repair_158,2023-07-28 16:25:34,service_app_177,,,,Exterior,Work Completed,,High,,
repair_159,2023-07-28 16:20:51,service_app_177,,,Critical,Plumbing,Work Completed,,,,
repair_160,2023-07-28 16:25:06,service_app_177,,,,Gutters,Work Completed,,,,
repair_161,2024-05-02 16:22:00,service_app_212,2.0,,replace toilet with comfort height ADA toilet,Bathroom,Work Completed,,Medium,,
repair_162,2024-05-02 16:59:37,service_app_214,,,,Grab Bars/Railings,Assigned,,,,
repair_163,2024-05-02 16:17:53,service_app_212,1.0,,Replacement,Roof,Work Completed,,High,,
repair_164,2024-05-02 16:18:44,service_app_212,1.0,,,Cabinets,In Progress,,Low,,
repair_165,2024-05-02 16:19:20,service_app_212,2.0,,,Ceiling,Need Identified,,High,,
repair_166,2024-05-02 16:20:07,service_app_212,,,,Carpet,Need Identified,,Medium,,
repair_167,2024-05-02 16:23:10,service_app_212,2.0,,Exterior,Doors/Locks,Work Completed,,High,,
repair_168,2024-05-02 16:23:35,service_app_212,2.0,,Security door,Doors/Locks,Need Identified,,Medium,,
repair_169,2024-05-02 16:24:50,service_app_212,1.0,,,Flooring,Work Completed,,High,,
repair_170,2024-05-02 16:25:29,service_app_212,1.0,,Critical,HVAC,Need Identified,,High,,
repair_171,2024-05-02 16:26:53,service_app_212,,,Test,Lead Safety,Work Completed,,Low,,
repair_172,2024-05-02 16:56:35,service_app_214,,,,Flooring,Assigned,,,,
repair_173,2024-05-02 16:57:11,service_app_214,,,,Cabinets,Assigned,,,,
repair_174,2024-05-02 16:58:20,service_app_214,3.0,,Interior,Doors/Locks,Assigned,,,,
repair_175,2024-05-02 16:58:54,service_app_214,,,Replacement,Roof,Assigned,,,,
repair_176,2024-05-02 17:01:02,service_app_214,,,replace toilet with comfort height ADA toilet,Bathroom,Assigned,,,,
repair_177,2024-05-02 17:01:43,service_app_214,,,replace vanity,Bathroom,Assigned,,,,
repair_178,2024-05-02 17:06:25,service_app_189,,,Critical,Electrical,Need Identified,,High,,
repair_179,2024-05-02 17:06:52,service_app_189,,,,Cabinets,Need Identified,,,,
repair_180,2024-05-02 17:07:37,service_app_189,,,,Flooring,Need Identified,,,,
repair_181,2024-05-02 17:10:31,service_app_189,,,Exterior,Doors/Locks,Need Identified,,,,
repair_182,2024-05-02 17:11:27,service_app_189,,,Critical,Plumbing,Need Identified,,,,
repair_183,2024-05-02 17:12:00,service_app_189,,,Replacement,Roof,Need Identified,,,,
repair_184,2024-05-03 18:53:34,service_app_204,,,Exterior,Doors/Locks,Need Identified,,,,
repair_185,2024-05-03 18:51:08,service_app_204,1.0,,convert tub to shower,Bathroom,Work Completed,,,,
repair_186,2024-05-03 19:25:17,service_app_180,2.0,,Security door,Doors/Locks,Work Completed,,,,
repair_187,2024-05-03 19:05:48,service_app_207,1.0,,Install,Ramps/Lifts,Work Completed,,,,
repair_188,2024-05-03 19:06:45,service_app_207,2.0,,Security door,Doors/Locks,Work Completed,,,,
repair_189,2024-05-03 19:28:01,service_app_180,,,replace flooring,Bathroom,Work Completed,,,,
repair_190,2024-05-03 18:52:10,service_app_204,2.0,,replace toilet with comfort height ADA toilet,Bathroom,Work Completed,,,,
repair_191,2024-05-03 18:58:05,service_app_183,,,,Bathroom,Work Completed,,,,
repair_192,2024-05-03 18:52:59,service_app_204,,,,Carpet,Work Completed,,,,
repair_193,2024-05-03 19:00:02,service_app_183,,,convert tub to shower,Bathroom,Need Identified,,,,
repair_194,2024-05-03 19:16:40,service_app_208,,,new handheld shower head,Bathroom,Work Completed,,,,
repair_195,2024-05-03 18:56:55,service_app_183,,,,Carpet,Need Identified,,,,
repair_196,2024-05-03 18:58:41,service_app_183,,,replace toilet with comfort height ADA toilet,Bathroom,Work Completed,,,,
repair_197,2024-05-03 18:59:06,service_app_183,,,replace vanity,Bathroom,Work Completed,,,,
repair_198,2024-05-03 18:59:24,service_app_183,,,replace flooring,Bathroom,Work Completed,,,,
repair_199,2024-05-03 19:00:38,service_app_183,,,install fan vented to exterior of home,Bathroom,Work Completed,,,,
repair_200,2024-05-03 19:31:44,service_app_180,,,Minor,Electrical,Work Completed,,,,
repair_201,2024-05-03 19:00:58,service_app_183,,,replace toilet with comfort height ADA toilet,Bathroom,Work Completed,,,,
repair_202,2024-05-03 19:01:34,service_app_183,,,,Flooring,Work Completed,,,,
repair_203,2024-05-03 19:11:52,service_app_208,,,Test,Lead Safety,Work Completed,,,,
repair_204,2024-05-03 19:04:35,service_app_207,,,Test,Lead Safety,Work Completed,,,,
repair_205,2024-05-03 19:06:19,service_app_207,2.0,,Exterior,Doors/Locks,Work Completed,,,,
repair_206,2024-05-03 19:07:43,service_app_207,,,,Kitchen,Work Completed,,,,
repair_207,2024-05-03 19:09:20,service_app_207,,,,Flooring,Work Completed,,,,
repair_208,2024-05-03 19:10:00,service_app_207,,,,Ceiling,Work Completed,,,,
repair_209,2024-05-03 19:12:49,service_app_208,,,,Gutters,Work Completed,,,,
repair_210,2024-05-03 19:14:48,service_app_208,,,,Handrails,Work Completed,,,,
repair_211,2024-05-03 19:33:31,service_app_180,,,,Painting,Work Completed,,,,
repair_212,2024-05-03 19:15:06,service_app_208,,,,Ceiling,Work Completed,,,,
repair_213,2024-05-03 19:15:37,service_app_208,2.0,,replace toilet with comfort height ADA toilet,Bathroom,Work Completed,,,,
repair_214,2024-05-03 19:15:57,service_app_208,,,convert tub to shower,Bathroom,Work Completed,,,,
repair_215,2024-05-03 19:16:17,service_app_208,,,replace flooring,Bathroom,Work Completed,,,,
repair_216,2024-05-03 19:17:11,service_app_208,,,,Grab Bars/Railings,Work Completed,,,,
repair_217,2024-05-03 19:17:58,service_app_208,,,Entry door,Doors/Locks,Work Completed,,,,
repair_218,2024-05-03 19:18:24,service_app_208,,,Exterior,Doors/Locks,Work Completed,,,,
repair_219,2024-05-03 19:18:48,service_app_208,,,Security door,Doors/Locks,Work Completed,,,,
repair_220,2024-05-03 19:19:15,service_app_208,,,Interior,Painting,Work Completed,,,,
repair_221,2024-05-03 19:22:42,service_app_180,,,Replacement,Roof,Work Completed,,,,
repair_222,2024-05-03 19:23:12,service_app_180,,,,Gutters,Work Completed,,,,
repair_223,2024-05-03 19:24:00,service_app_180,,,,Gutters,Need Identified,,,,
repair_224,2024-05-03 19:24:27,service_app_180,,,Install,Ramps/Lifts,Work Completed,,,,
repair_225,2024-05-03 19:24:55,service_app_180,2.0,,Exterior,Doors/Locks,Work Completed,,,,
repair_226,2024-05-03 19:26:18,service_app_180,,,,Plumbing,Work Completed,,,,
repair_227,2024-05-03 19:26:44,service_app_180,,,convert tub to shower,Bathroom,Work Completed,,,,
repair_228,2024-05-03 19:27:18,service_app_180,,,,Bathroom,Work Completed,,,,
repair_229,2024-05-03 19:27:40,service_app_180,,,replace toilet with comfort height ADA toilet,Bathroom,Work Completed,,,,
repair_230,2024-05-03 19:28:20,service_app_180,,,replace vanity,Bathroom,Work Completed,,,,
repair_231,2024-05-03 19:28:57,service_app_180,,,,Bathroom,Work Completed,,,,
repair_232,2024-05-03 19:30:24,service_app_180,,,,Appliances,Work Completed,,,,
repair_233,2024-05-03 19:33:46,service_app_180,,,,Appliances,Work Completed,,,,
repair_234,2024-05-03 19:30:50,service_app_180,,,,Cabinets,Work Completed,,,,
repair_235,2024-05-03 19:31:27,service_app_180,,,,Kitchen,Work Completed,,,,
repair_236,2024-05-03 19:32:40,service_app_180,,,,,Need Identified,,,,
repair_237,2024-05-03 19:33:08,service_app_180,,,,Flooring,Work Completed,,,,
repair_238,2024-05-07 14:27:53,service_app_114,,,Replacement,Waterheater,Work Completed,,,,
repair_239,2024-05-07 15:04:53,service_app_184,,,,Kitchen,Work Completed,,,,
repair_240,2024-05-07 14:18:26,service_app_114,1.0,,Test,Lead Safety,Work Completed,,,,
repair_241,2024-05-07 14:18:54,service_app_114,,,,Electrical,Work Completed,,,,
repair_242,2024-05-07 15:19:44,service_app_192,,,,Flooring,Work Completed,,,,
repair_243,2024-05-07 14:19:37,service_app_114,,,convert tub to shower,Bathroom,Work Completed,,,,
repair_244,2024-05-07 14:19:57,service_app_114,,,,HVAC,Work Completed,,,,
repair_245,2024-05-07 14:20:30,service_app_114,3.0,,,Handrails,Work Completed,,,,
repair_246,2024-05-07 14:21:02,service_app_114,,,,Deck/Porch,Work Completed,,,,
repair_247,2024-05-07 14:58:20,service_app_198,,,install fan vented to exterior of home,Bathroom,Work Completed,,,,
repair_248,2024-05-07 14:21:38,service_app_114,2.0,,Exterior,Doors/Locks,Work Completed,,,,
repair_249,2024-05-07 14:21:57,service_app_114,2.0,,Security door,Doors/Locks,Work Completed,,,,
repair_250,2024-05-07 14:22:17,service_app_114,,,Interior,Doors/Locks,Work Completed,,,,
repair_251,2024-05-07 14:24:09,service_app_114,,,,,Work Completed,,,,
repair_252,2024-05-07 14:25:45,service_app_114,,,,Foundation,Work Completed,,,,
repair_253,2024-05-07 14:26:16,service_app_114,,,,Appliances,Work Completed,,,,
repair_254,2024-05-07 15:17:34,service_app_192,,,,Waterheater,Work Completed,,,,
repair_255,2024-05-07 14:28:34,service_app_114,,,,Appliances,Work Completed,,,,
repair_256,2024-05-07 14:30:21,service_app_119,,,Test,Lead Safety,Work Completed,,,,
repair_257,2024-05-07 14:31:07,service_app_119,,,,HVAC,Work Completed,,,,
repair_258,2024-05-07 14:31:52,service_app_119,,,Replacement,Roof,Work Completed,,,,
repair_259,2024-05-07 14:32:26,service_app_119,,,,Gutters,Work Completed,,,,
repair_260,2024-05-07 15:48:39,service_app_200,,,Test,Lead Safety,Work Completed,,,,
repair_261,2024-05-07 14:33:18,service_app_119,2.0,,Exterior,Doors/Locks,Work Completed,,,,
